,Year,Player,From,To,Value,Tax Rate,Tax Est ,State
0,2022,Von Miller,LAR,BUF,120,10.90%,$13.08 ,New York
1,2022,JC Jackson,NE,LAC,82.5,12.30%,$10.15 ,California
2,2022,Terron Armstead,NO,MIA,75,0.00%, $-   ,Florida
3,2022,Christian Kirk,ARI,JAC,72,0.00%, $-   ,Florida
4,2022,Randy Gregory,DAL,DEN,70,4.55%,$3.19 ,Colorado
5,2022,Marcus Williams,NO,BAL,70,5.75%,$4.03 ,Maryland
6,2022,Chandler Jones,ARI,LV,51,0.00%, $-   ,Nevada
7,2022,Bobby Wagner,SEA,LAR,50,12.30%,$6.15 ,California
8,2022,Brandon Scherff,SEA,LAR,49.5,12.30%,$6.09 ,California
9,2022,Allen Robinson,CHI,LAR,46.5,12.30%,$5.72 ,California
10,2022,Haason Reddick,CAR,PHI,45,3.07%,$1.38 ,Pennsylvania
11,2022,Foyesade Oluokon,ATL,JAC,45,0.00%, $-   ,Florida
12,2022,Za'Darius Smith,GB,MIN,42,9.85%,$4.14 ,Minnesota
13,2022,Charvarious Ward,KC,SF,40.5,12.30%,$4.98 ,California
14,2022,Laken Tomlinson,SF,NYJ,40,10.75%,$4.30 ,New Jersey
15,2022,Donte Jackson,CAR,CAR,35.2,7.00%,$2.46 ,North Carolina
16,2022,Alex Cappa,TB,CIN,35,3.99%,$1.40 ,Ohio
17,2022,DJ Reed,SEA,NYJ,33,10.75%,$3.55 ,New Jersey
18,2022,Justin Reid,HOU,KC,31.5,5.30%,$1.67 ,Missouri
19,2022,Marquez Valdes-Scantling,GB,KC,30,5.30%,$1.59 ,Missouri
20,2022,Darious Williams,LAR,JAC,30,0.00%, $-   ,Florida
21,2022,Foley Fatukasi,NYJ,JAC,30,0.00%, $-   ,Florida
22,2022,Russell Gage,ATL,TB,30,0.00%, $-   ,Florida
23,2022,DJ Jones,SF,DEN,30,4.55%,$1.37 ,Colorado
24,2022,Tyrann Mathieu,KC,NO,28.3,4.25%,$1.20 ,Louisiana
25,2022,Jameis Winston,NO,NO,28,4.25%,$1.19 ,Louisiana
26,2022,James Daniels,CHI,PIT,26.5,3.07%,$0.81 ,Pennsylvania
27,2022,Austin Corbett,LAR,CAR,26.3,7.00%,$1.84 ,North Carolina
28,2022,CJ Uzomah,CIN,NYJ,24,10.75%,$2.58 ,New Jersey
29,2022,Zay Jones,LV,JAC,24,0.00%, $-   ,Florida
30,2022,Sebastian Joseph,LAR,JAC,24,0.00%, $-   ,Florida
31,2022,Marcus Maye,NYJ,NO,22.5,4.25%,$0.96 ,Louisiana
32,2022,Cedrick Wilson,DAL,MIA,22.1,0.00%, $-   ,Florida
33,2022,Leonard Fournette,TB,TB,21,0.00%, $-   ,Florida
34,2022,La'el Collins,DAL,CIN,21,3.99%,$0.84 ,Ohio
35,2022,Rasul Douglas,GB,GB,21,7.65%,$1.61 ,Wisconsin
36,2022,Tyler Conklin,MIN,NYJ,20.3,10.75%,$2.18 ,New Jersey
37,2022,Duane Brown,SEA,NYJ,20,10.75%,$2.15 ,New Jersey
38,2022,Stephon Gilmore,CAR,IND,20,3.23%,$0.65 ,Indiana
39,2022,Harrison Phillips,BUF,MIN,19.5,9.85%,$1.92 ,Minnesota
40,2022,Uchenna Nwosu,LAC,SEA,19.1,0.00%, $-   ,Washington
41,2022,Marcus Mariota,LV,ATL,18.8,5.75%,$1.08 ,Georgia
42,2022,Mark Glowinski,IND,NYG,18.3,10.75%,$1.97 ,New Jersey
43,2022,Ted Karras,NE,CIN,18,3.99%,$0.72 ,Ohio
44,2022,Myles Jack,JAC,PIT,16,3.07%,$0.49 ,Pennsylvania
45,2022,Mason Cole,MIN,PIT,15.8,3.07%,$0.48 ,Pennsylvania
46,2022,Derek Barnett,PHI,PHI,15.2,3.07%,$0.47 ,Pennsylvania
47,2022,Morgan Moses,NYJ,BAL,15,5.75%,$0.86 ,Maryland
48,2022,Xavier Woods,MIN,CAR,15,7.00%,$1.05 ,North Carolina
49,2022,Jordan Whitehead,TB,NYJ,14.5,10.75%,$1.56 ,New Jersey
50,2022,Mitchell Trubisky,BUF,PIT,14.3,3.07%,$0.44 ,Pennsylvania
51,2022,Connor Williams,DAL,MIA,14,0.00%, $-   ,Florida
52,2022,Fletcher Cox,PHI,PHI,14,3.07%,$0.43 ,Pennsylvania
53,2022,DaQuan Jones,CAR,BUF,14,10.90%,$1.53 ,New York
54,2022,Austin Johnson,NYG ,LAC,14,12.30%,$1.72 ,California
55,2022,Jake Martin,HOU,NYJ,13.5,10.75%,$1.45 ,New Jersey
56,2022,Trenton Brown,NE,NE,13,5.00%,$0.65 ,Massachusets
57,2022,Calais Campbell,BAL,BAL,12.5,5.75%,$0.72 ,Maryland
58,2022,Chase Edmonds,ARI,MIA,12.1,0.00%, $-   ,Florida
59,2022,Gerald Everett,SEA,JAC,12,0.00%, $-   ,Florida
60,2022,Justin Jones,LAC,CHI,12,4.95%,$0.59 ,Illinois
61,2022,Dorance Armostrong,DAL,DAL,12,0.00%, $-   ,Texas
62,2022,Patrick Ricard,BAL,BAL,11.3,5.75%,$0.65 ,Maryland
63,2022,Casey Hayward,LV,ATL,11,5.75%,$0.63 ,Georgia
64,2022,Tyrod Taylor,HOU,NYG,11,10.75%,$1.18 ,New Jersey
65,2022,Cordarelle Patterson,ATL,ATL,10.5,5.75%,$0.60 ,Georgia
66,2022,Jadeveon Clowney,CLE,CLE,10.5,3.99%,$0.42 ,Ohio
67,2022,Jayron Kearse,DAL,DAL,10,0.00%, $-   ,Texas
68,2022,Andrew Norwell,JAC,WAS,10,5.75%,$0.58 ,Maryland
69,2022,Jakeem Grant,CHI,CLE,10,3.99%,$0.40 ,Ohio
70,2022,Jordan Hicks,ARI,MIN,10,9.85%,$0.99 ,Minnesota
71,2022,DJ Chark,JAC,DET,10,4.25%,$0.43 ,Michigan
72,2021,Trent Williams,SF,SF,138.1,12.30%,$16.99 ,California
73,2021,Bud Dupree,PIT,TEN,82.5,0.00%, $-   ,Tennessee
74,2021,Joe Thuney,NE,KC,80,5.30%,$4.24 ,Missouri
75,2021,Kenny Golladay,DET,NYG,72,10.75%,$7.74 ,New Jersey
76,2021,Corey Linsley,GB,LAC,62.5,12.30%,$7.69 ,California
77,2021,Trey Hendrickson,NO,CIN,60,3.99%,$2.39 ,Ohio
78,2021,Matt Judon,BAL,NE,54.5,5.00%,$2.73 ,Massachusets
79,2021,Jonnu Smith,TEN,NE,54.5,5.00%,$2.73 ,Massachusets
80,2021,Carl Lawson,CIN,NYJ,45,10.75%,$4.84 ,New Jersey
81,2021,William Jackson,CIN,WAS,40.5,5.75%,$2.33 ,Maryland
82,2021,Shaquill Griffin,SEA,JAC,40,0.00%, $-   ,Florida
83,2021,Adoree Jackson,TEN,NYG,39,10.75%,$4.19 ,New Jersey
84,2021,Hunter Henry,LAC,NE,37.5,5.00%,$1.88 ,Massachusets
85,2021,Corey Davis,TEN,NYJ,37.5,10.75%,$4.03 ,New Jersey
86,2021,Romeo Okwara,DET,DET,37,4.25%,$1.57 ,Michigan
87,2021,Rayshawn Jenkins,LAC,JAC,35,0.00%, $-   ,Florida
88,2021,Curtis Samuel,CAR,WAS,34.5,5.75%,$1.98 ,Maryland
89,2021,John Johnson,LAR,CLE,33.8,3.99%,$1.35 ,Ohio
90,2021,Ronald Darby,WAS,DEN,30,4.55%,$1.37 ,Colorado
91,2021,JJ Watt,HOU,ARI,28,4.50%,$1.26 ,Arizona
92,2021,Yannick Ngakoue,BAL,LV,26,0.00%, $-   ,Nevada
93,2021,Mike Hilton,PIT,CIN,24,3.99%,$0.96 ,Ohio
94,2021,Jalen Mills,PHI,NE,24,5.00%,$1.20 ,Massachusets
95,2021,Roy Robertson-Harris,CHI,JAC,23.4,0.00%, $-   ,Florida
96,2021,Kevin Zeitler,NYG ,BAL,22.5,5.75%,$1.29 ,Maryland
97,2021,Tyus Bowser,BAL,BAL,22,5.75%,$1.27 ,Maryland
98,2021,Nelson Agholor,LV,NE,22,5.00%,$1.10 ,Massachusets
99,2021,Chidobe Awuzie,DAL,CIN,21.8,3.99%,$0.87 ,Ohio
100,2021,Denico Autry,IND,TEN,21.5,0.00%, $-   ,Tennessee
101,2021,Matt Feiler,PIT,LAC,21,12.30%,$2.58 ,California
102,2021,David Andrews,NE,NE,19,5.00%,$0.95 ,Massachusets
103,2021,Janoris Jenkins,NO,TEN,15,0.00%, $-   ,Tennessee
104,2021,Davon Godchaux,MIA,NE,15,5.00%,$0.75 ,Massachusets
105,2021,Kendrick Bourne,SF,NE,15,5.00%,$0.75 ,Massachusets
106,2021,Alex Mack,ATL,SF,14.9,12.30%,$1.83 ,California
107,2021,Jamal Agnew,DET,JAC,14.3,0.00%, $-   ,Florida
108,2021,Alejandro Vilanueva,PIT,BAL,14,5.75%,$0.81 ,Maryland
109,2021,Carlos Dunlap,SEA,SEA,13.6,0.00%, $-   ,Washington
110,2021,Jourdan Lewis,DAL,DAL,13.5,0.00%, $-   ,Texas
111,2021,Pat Eflein,NYJ,CAR,13.5,7.00%,$0.95 ,North Carolina
112,2021,Marvin Jones,DET,JAC,12.5,0.00%, $-   ,Florida
113,2021,Kyle Rudolph,MIN,NYG,12,10.75%,$1.29 ,New Jersey
114,2021,Kyle Van Noy,MIA,NE,12,5.00%,$0.60 ,Massachusets
115,2021,Samson Ebukam,LAR,SF,12,12.30%,$1.48 ,California
116,2021,Lawrence Guy,NE,NE,11.5,5.00%,$0.58 ,Massachusets
117,2021,Sheldon Rankins,NO,NYJ,11,10.75%,$1.18 ,New Jersey
118,2021,Kenyan Drake,ARI,LV,11,0.00%, $-   ,Nevada
119,2021,Will Fuller,HOU,MIA,10.6,0.00%, $-   ,Florida
120,2021,Chris Carson,SEA,SEA,10.4,0.00%, $-   ,Washington
121,2021,Ryan Fitzpatrick,MIA,WAS,10,5.75%,$0.58 ,Maryland
122,2021,Andy Dalton,DAL,CHI,10,4.95%,$0.50 ,Illinois
123,2021,Cameron Erving,DAL,CAR,10,7.00%,$0.70 ,North Carolina
124,2020,Robert Quinn,DAL,CHI,70,4.95%,$3.47 ,Illinois
125,2020,Teddy Bridgewater,NO,CAR,63,7.00%,$4.41 ,North Carolina
126,2020,Joe Schoebert,CLE,JAC,53.8,0.00%, $-   ,Florida
127,2020,DJ Reader,HOU,CIN,53,3.99%,$2.11 ,Ohio
128,2020,Kyle Van Noy,NE,MIA,51,0.00%, $-   ,Florida
129,2020,Tom Brady,NE,TB,50,0.00%, $-   ,Florida
130,2020,Dante Fowler Jr,LAR,ATL,45,5.75%,$2.59 ,Georgia
131,2020,Trae Waynes,MIN,CIN,42,3.99%,$1.68 ,Ohio
132,2020,Kendall Fuller,KC,WAS,40,5.75%,$2.30 ,Maryland
133,2020,Javon Hargrave,PIT,PHI,39,3.07%,$1.20 ,Pennsylvania
134,2020,Cory Littleton,LAR,LV,35.3,0.00%, $-   ,Nevada
135,2020,Malcolm Jenkins,PHI,NO,32,4.25%,$1.36 ,Louisiana
136,2020,Blake Martinez,GB,NYG,30.8,10.75%,$3.31 ,New Jersey
137,2020,Mario Addison,CAR,BUF,30.5,10.90%,$3.32 ,New York
138,2020,Bryan Bulaga,GB ,LAC,30,12.30%,$3.69 ,California
139,2020,Jordan Phillips,BUF,ARI,30,4.50%,$1.35 ,Arizona
140,2020,George Fant,SEA,NYJ,30,10.75%,$3.23 ,New Jersey
141,2020,Jamie Collins,NE,DET,30,4.25%,$1.28 ,Michigan
142,2020,Michael Pierce,BAL,MIN,27,9.85%,$2.66 ,Minnesota
143,2020,Connor McGovern,DEN,NYJ,27,10.75%,$2.90 ,New Jersey
144,2020,Randall Cobb,GB,HOU,27,0.00%, $-   ,Texas
145,2020,Carl Nassib,TB,LV,25.3,0.00%, $-   ,Nevada
146,2020,Philip Rivers,LAC,IND,25,3.23%,$0.81 ,Indiana
147,2020,Emmanuel Sanders,SF,NO,24,4.25%,$1.02 ,Louisiana
148,2020,Nick Kwiatkoski,CHI,LV,21,0.00%, $-   ,Nevada
149,2020,Robbie Anderson,NYJ,CAR,20,7.00%,$1.40 ,North Carolina
150,2020,Devon Kennard,DET,ARI,20,4.50%,$0.90 ,Arizona
151,2020,Gerald McCoy,CAR,DAL,18.3,0.00%, $-   ,Texas
152,2020,Vonn Bell,NO,CIN,18,3.99%,$0.72 ,Ohio
153,2020,AJ Klein,NO,BUF,18,10.90%,$1.96 ,New York
154,2020,Rodney Gunter,ARI,JAC,18,0.00%, $-   ,Florida
155,2020,Eric Murray,CLE,HOU,18,0.00%, $-   ,Texas
156,2020,Marcus Mariota,TEN,LV,17.6,0.00%, $-   ,Nevada
157,2020,Chris Harris,DEN,LAC,17,12.30%,$2.09 ,California
158,2020,Linval Joseph,MIN,LAC,17,12.30%,$2.09 ,California
159,2020,A'Shawn Robinson,DET,LAR,17,12.30%,$2.09 ,California
160,2020,Melvin Gordon,LAC,DEN,16,4.55%,$0.73 ,Colorado
161,2020,Jimmy Graham,GB,CHI,16,4.95%,$0.79 ,Illinois
162,2020,Vernon Butler,CAR,BUF,15,10.90%,$1.64 ,New York
163,2020,Emmanuel Ogbah,KC,MIA,15,0.00%, $-   ,Florida
164,2020,Quinton Jefferson,SEA,BUF,13.5,10.90%,$1.47 ,New York
165,2020,Jadaveon Clowney,SEA,TEN,13,0.00%, $-   ,Tennessee
166,2020,Stephen Weatherly,MIN,CAR,12.5,7.00%,$0.88 ,North Carolina
167,2020,Eric Ebron,IND,PIT,12,3.07%,$0.37 ,Pennsylvania
168,2020,Ricky Wagner,DET,GB,11,7.65%,$0.84 ,Wisconsin
169,2020,Greg Van Roten,CAR,NYJ,10.5,10.75%,$1.13 ,New Jersey
170,2020,Dan Bailey,MIN,MIN,10,9.85%,$0.99 ,Minnesota
171,2020,Leonard Floyd,CHI,LAR,10,12.30%,$1.23 ,California
172,2020,Nick Williams,CHI,DET,10,4.25%,$0.43 ,Michigan
